_id,addressLine1,addressLine2,city,contactFirstName,contactLastName,country,creditLimit,customerName,phone,postalCode,salesRepEmployeeNumber,state
209,"24, place Kl ber",,Strasbourg,Fr d rique ,Citeaux,France,53800,Mini Caravy,88.60.1555,67000,1370,
202,1900 Oak St.,,Vancouver,Yoshi ,Tamuri,Canada,90300,Canadian Gift Exchange Network,(604) 555-3392,V3F 2K1,1323,BC
216,"Rambla de Catalu a, 23",,Barcelona,Eduardo ,Saavedra,Spain,60300,Enaco Distributors,(93) 203 4555,8022,1702,
219,4097 Douglas Av.,,Glendale,Mary,Young,USA,11000,Boards & Toys Co.,3105552373,92561,1166,CA
223,Taucherstra e 10,,Cunewalde,Horst ,Kloss,Germany,0,Nat rlich Autos,0372-555188,1307,,
227,Smagsloget 45,, rhus,Palle,Ibsen,Denmark,120800,Heintze Collectables,86 21 3555,8200,1401,
205,78934 Hillside Dr.,,Pasadena,Julie,Young,USA,90700,Toys4GrownUps.com,6265557265,90003,1166,CA
233,43 rue St. Laurent,,Montr al,Jean ,Fresni re,Canada,48700,Qu bec Home Shopping Network,(514) 555-8054,H1J 1C3,1286,Qu bec
239,361 Furth Circle,,San Diego,Valarie,Thompson,USA,105000,Collectable Mini Designs Co.,7605558146,91217,1166,CA
237,"Gran V a, 1",,Madrid,Alejandra ,Camino,Spain,0,ANG Resellers,(91) 745 6555,28001,,
240,Garden House,Crowther Way 23,Cowes,Helen ,Bennett,UK,93900,giftsbymail.co.uk,(198) 555-8888,PO31 7PJ,1501,Isle of Wight
242,1 rue Alsace-Lorraine,,Toulouse,Annette ,Roulet,France,61100,Alpha Cognac,61.77.6555,31000,1370,
247,Magazinweg 7,,Frankfurt,Renate ,Messner,Germany,0,Messner Shopping Network,069-0555984,60528,,
250,27 rue du Colonel Pierre Avia,,Paris,Daniel,Da Silva,France,68100,Lyon Souveniers,+33 1 46 62 7555,75508,1337,
249,Via Monte Bianco 34,,Torino,Paolo ,Accorti,Italy,113000,Amica Models & Co.,011-4988555,10100,1401,
256,"67, avenue de l'Europe",,Versailles,Daniel ,Tonini,France,77900,Auto Associ s & Cie.,30.59.8555,78000,1370,
211,Bank of China Tower,1 Garden Road,Central Hong Kong,Mike,Gao,Hong Kong,58600,"King Kong Collectables, Co.",+852 2251 1555,,1621,
273,Berliner Platz 43,,M nchen,Peter ,Franken,Germany,0,"Franken Gifts, Co",089-0877555,80805,,
206,Suntec Tower Three,8 Temasek,Singapore,Brydey,Walker,Singapore,0,"Asian Shopping Network, Co",+612 9411 1555,38988,,
259,Mehrheimerstr. 369,,K ln,Henriette ,Pfalzheim,Germany,120400,"Toms Spezialit ten, Ltd",0221-5554327,50739,1504,
260,23 Tsawassen Blvd.,,Tsawassen,Elizabeth ,Lincoln,Canada,89600,"Royal Canadian Collectables, Ltd.",(604) 555-4555,T2F 8M4,1323,BC
286,39323 Spinnaker Dr.,,Cambridge,Marta,Hernandez,USA,123700,"Marta's Replicas Co.",6175558555,51247,1216,MA
276,201 Miller Street,Level 15,North Sydney,Anna,"O'Hara",Australia,107800,"Anna's Decorations, Ltd",02 9936 8555,2060,1611,NSW
298,Grenzacherweg 237,,Gen ve,Mihael,Holz,Switzerland,141300,"Vida Sport, Ltd",0897-034555,1203,1702,
299,Drammensveien 126A,PB 211 Sentrum,Oslo,Jan,Klaeboe,Norway  ,95100,"Norway Gifts By Mail, Co.",+47 2212 1555,N 0106,1504,
303,Kingsfordweg 151,,Amsterdam,Bradley,Schuyler,Netherlands,0,Schuyler Imports,+31 20 491 9555,1043 GR,,
307,Obere Str. 57,,Berlin,Mel,Andersen,Germany,0,Der Hund Imports,030-0074555,12209,,
311,Torikatu 38,,Oulu,Pirkko,Koskitalo,Finland,90500,"Oulu Toy Supplies, Inc.",981-443655,90110,1501,
314,Rue Joseph-Bens 532,,Bruxelles,Catherine ,Dewey,Belgium,79900,Petit Auto,(02) 5554 67,B-1180,1401,
319,3758 North Pendale Street,,White Plains,Steve,Frick,USA,102700,Mini Classics,9145554562,24067,1323,NY
320,4575 Hillside Dr.,,New Bedford,Wing,Huang,USA,94500,Mini Creations Ltd.,5085559555,50553,1188,MA
278,Via Ludovico il Moro 22,,Bergamo,Giovanni ,Rovelli,Italy,119600,Rovelli Gifts,035-640555,24100,1401,
321,7734 Strong St.,,San Francisco,Julie,Brown,USA,105000,Corporate Gift Ideas Co.,6505551386,94217,1165,CA
323,162-164 Grafton Road,Level 2,Auckland  ,Mike,Graham,New Zealand,88000,"Down Under Souveniers, Inc",+64 9 312 5555,,1612,
324,35 King George,,London,Ann ,Brown,UK,77000,"Stylish Desk Decors, Co.",(171) 555-0297,WX3 6FW,1501,
328,7476 Moss Rd.,,Newark,William,Brown,USA,43000,Tekni Collectables Inc.,2015559350,94019,1323,NJ
282,Monitor Money Building,815 Pacific Hwy,Chatswood,Adrian,Huxley,Australia,93300,Souveniers And Things Co.,+61 2 9495 8555,2067,1611,NSW
293,Rte des Arsenaux 41 ,,Fribourg,Ed,Harrison,Switzerland,0,BG&E Collectables,+41 26 425 50 01,1700,,
333,31 Duncan St. West End,,South Brisbane,Ben,Calaghan,Australia,51600,"Australian Gift Network, Co",61-7-3844-6555,4101,1611,Queensland
334,Software Engineering Center,SEC Oy,Espoo,Kalle,Suominen,Finland,98800,Suominen Souveniers,+358 9 8045 555,FIN-02271,1501,
339,782 First Street,,Philadelphia,Francisca,Cervantes,USA,81100,"Classic Gift Ideas, Inc",2155554695,71270,1188,PA
335,Maubelstr. 90,,Brandenburg,Philip ,Cramer,Germany,0,"Cramer Spezialit ten, Ltd",0555-09555,14776,,
344,Merchants House,"27-30 Merchant's Quay",Madrid,Jesus,Fernandez,Spain,59600,CAF Imports,+34 913 728 555,28023,1702,
348,8 Johnstown Road,,Cork,Patricia ,McKenna,Ireland,0,"Asian Treasures, Inc.",2967 555,,,Co. Cork
353,"59 rue de l'Abbaye",,Reims,Paul ,Henriot,France,81100,Reims Collectables,26.47.1555,51100,1337,
347,6047 Douglas Av.,,Los Angeles,Brian,Chandler,USA,57700,"Men 'R' US Retailers, Ltd.",2155554369,91003,1166,CA
361,Luisenstr. 48,,M nster,Karin,Josephs,Germany,0,Kommission Auto,0251-555259,44087,,
350,"12, rue des Bouchers",,Marseille,Laurence ,Lebihan,France,65000,Marseille Mini Autos,91.24.4555,13008,1337,
362,8616 Spinnaker Dr.,,Boston,Juri,Yoshido,USA,41900,Gifts4AllAges.com,6175559555,51003,1216,MA
363,2304 Long Airport Avenue,,Nashua,Dorothy,Young,USA,114200,Online Diecast Creations Co.,6035558647,62005,1216,NH
369,Jardim das rosas n. 32,,Lisboa,Lino ,Rodriguez,Portugal,0,"Lisboa Souveniers, Inc",(1) 354-2555,1675,,
379,7825 Douglas Av.,,Brickhaven,Allen,Nelson,USA,70700,Collectables For Less Inc.,6175558555,58339,1188,MA
376,Hauptstr. 29,,Bern,Braun,Urs,Switzerland,0,Precious Collectables,0452-076555,3012,1702,
381,"Boulevard Tirou, 255",,Charleroi,Pascale ,Cartrain,Belgium,23500,Royale Belge,(071) 23 67 2555,B-6000,1401,
356,1250 Pretorius Street,,Hatfield,Armand,Kuger,South Africa,0,"SAR Distributors, Co",+27 21 550 3555,28,,Pretoria
357,199 Great North Road,,Auckland,Wales,MacKinlay,New Zealand,77700,GiftsForHim.com,64-9-3763555,,1612,
385,15 McCallum Street,NatWest Center #13-03,Makati City,Arnold,Cruz,Philippines,81500,Cruz & Sons Co.,+63 2 555 3587,1227 MM,1621,
406,"25, rue Lauriston",,Paris,Dominique,Perrier,France,95000,Auto Canal+ Petit,(1) 47.55.6555,75016,1337,
386,Strada Provinciale 124,,Reggio Emilia,Maurizio ,Moroni,Italy,121400,"L'ordine Souveniers",0522-556555,42100,1401,
409,Adenauerallee 900,,Stuttgart,Rita ,M ller,Germany,0,Stuttgart Collectable Exchange,0711-555361,70563,,
412,101 Lambton Quay,Level 11,Wellington,Sarah,McRoy,New Zealand,86800,"Extreme Desk Decorations, Ltd",04 499 9555,,1612,
424,5905 Pompton St.,Suite 750,NYC,Maria,Hernandez,USA,67500,Classic Legends Inc.,2125558493,10022,1286,NY
443,Heerstr. 22,,Leipzig,Alexander ,Feuer,Germany,0,"Feuer Online Stores, Inc",0342-555176,4179,,
415,Hansastr. 15,,Munich,Michael,Donnermeyer,Germany,77000,"Bavarian Collectables Imports, Co.", +49 89 61 08 9555,80686,1504,
382,Geislweg 14,,Salzburg,Georg ,Pipps,Austria,71700,Salzburg Collectables,6562-9555,5020,1401,
447,2440 Pompton St.,,Glendale,Dan,Lewis,USA,49700,Gift Ideas Corp.,2035554407,97561,1323,CT
448, kergatan 24,,Br cke,Martha,Larsson,Sweden,116400,Scandinavian Gift Ideas,0695-34 6555,S-844 67,1504,
398,2-2-8 Roppongi,,Minato-ku,Akiko,Shimamura,Japan,94400,"Tokyo Collectables, Ltd",+81 3 3584 0555,106-0032,1621,Tokyo
450,3086 Ingle Ln.,,San Jose,Sue,Frick,USA,77600,The Sharp Gifts Warehouse,4085553659,94217,1165,CA
452,Kirchgasse 6,,Graz,Roland ,Mendel,Austria,45300,Mini Auto Werke,7675-3555,8010,1401,
455,567 North Pendale Street,,New Haven,Leslie,Murphy,USA,95400,Super Scale Inc.,2035559545,97823,1286,CT
456,5290 North Pendale Street,Suite 200,NYC,Yu,Choi,USA,39800,Microscale Inc.,2125551957,10022,1286,NY
458,"C/ Araquil, 67",,Madrid,Mart n ,Sommer,Spain,104600,"Corrida Auto Replicas, Ltd",(91) 555 22 82,28023,1702,
459,Walserweg 21,,Aachen,Sven ,Ottlieb,Germany,0,Warburg Exchange,0241-039123,52066,,
462,1785 First Street,,New Bedford,Violeta,Benitez,USA,85800,FunGiftIdeas.com,5085552555,50553,1216,MA
465,"c/ Gobelas, 19-1 Urb. La Florida",,Madrid,Carmen,Anton,Spain,0,"Anton Designs, Ltd.",+34 913 728555,28023,,
471,7 Allen Street,,Glen Waverly,Sean,Clenahan,Australia,60300,"Australian Collectables, Ltd",61-9-3844-6555,3150,1611,Victoria
475,3675 Furth Circle,,Burbank,Steve,Thompson,USA,55400,West Coast Collectables Co.,3105553722,94019,1166,CA
480,2 Pobedy Square,,Saint Petersburg,Alexander ,Semenov,Russia,0,"Kremlin Collectables, Co.",+7 812 293 0521,196143,,
481,3 Hagalim Blv.,,Herzlia,Raanan,"Altagar,G M",Israel,0,"Raanan Stores, Inc",+ 972 9 959 8555,47625,,
473,20093 Cologno Monzese,Alessandro Volta 16,Milan,Franco,Ricotti,Italy,34800,Frau da Collezione,+39 022515555,,1401,
477,Forsterstr. 57,,Mannheim,Hanna ,Moos,Germany,0,Mit Vergn gen & Co.,0621-08555,68306,,
484,"C/ Romero, 33",,Sevilla,Jos  Pedro ,Roel,Spain,65700,"Iberia Gift Imports, Corp.",(95) 555 82 82,41101,1702,
486,11328 Douglas Av.,,Philadelphia,Rosa,Salazar,USA,72600,Motor Mint Distributors Inc.,2155559857,71270,1323,PA
487,2793 Furth Circle,,Brisbane,Sue,Taylor,USA,60300,Signal Collectibles Ltd.,4155554312,94217,1165,CA
489,120 Hanover Sq.,,London,Thomas ,Smith,UK,43300,"Double Decker Gift Stores, Ltd",(171) 555-7555,WA1 1DP,1501,
495,6251 Ingle Ln.,,Boston,Valarie,Franco,USA,85100,Diecast Collectables,6175552555,51003,1188,MA
496,"Arenales 1938 3'A'",,Auckland  ,Tony,Snowden,New Zealand,110000,"Kelly's Gift Shop",+64 9 5555500,,1612,
